r1,r2,r3,r4,r5,r6
1.6151,0.6151,0.6151,1.5151,1.5151,1.0151
2.2613,1.2613,1.2613,2.0807,6.8461,1.0807
2.2613,1.2613,1.2613,6.8461,2.0807,1.0807
