r1,r2,r3,r4,r5,r6
1.3053,0.8053,0.8053,1.7073,1.7073,0.7073
1.7073,0.7073,0.4675,1.5597,1.5597,0.5597
1.7073,0.4675,0.7073,1.5597,1.5597,0.5597
