r1,r2,r3,r4,r5,r6
0.6151,0.1151,0.1151,1.0151,1.0151,0.0151
1.2613,0.2613,0.8599,1.0807,1.0807,0.0807
1.2613,0.8599,0.2613,1.0807,1.0807,0.0807
