f,a,b,c1,c2,d
1.0766,1.1591,1.2479,1.2479,1.2479,1.3435
2.741,0.841,1.3053,0.8053,0.8053,1.7073
3.6189,0.7481,1.7073,0.7073,0.4675,1.5597
3.6189,0.7481,1.7073,0.4675,0.7073,1.5597
